Employment_Type,Education_Level,Income,Credit_Score,Existing_Debt,Marital_Status,Loan_Purpose,Loan_status
Unemployed,Degree,472518,534,49333,Divorced,School,Yes
Employed,Degree,418695,687,132087,Divorced,Car,Yes
Business Owner,Secondary,321249,716,182882,Divorced,School,No
Self-Employed,Diploma,202646,816,91463,Divorced,Business,Yes
Employed,Degree,166656,645,37310,Divorced,House,Yes
Unemployed,Masters,252463,765,166603,Married,House,No
Employed,Secondary,122770,827,41716,Married,Car,Yes
Unemployed,Secondary,343271,499,153743,Single,Medical,No
Employed,Masters,233709,696,6515,Married,School,Yes
Employed,Diploma,307655,816,107882,Single,School,Yes
Employed,Masters,471609,551,50688,Single,Business,Yes
Self-Employed,Degree,249270,423,9019,Single,School,Yes
Business Owner,Secondary,410871,680,122180,Divorced,Business,No
Employed,Secondary,331036,739,47747,Divorced,House,Yes
Self-Employed,Secondary,376470,448,11622,Married,Medical,Yes
Employed,Secondary,299619,569,171579,Single,Car,Yes
Business Owner,Masters,452254,831,183183,Divorced,Car,No
Employed,Diploma,212691,734,124163,Single,Car,Yes
Business Owner,Masters,343254,835,93755,Divorced,Car,Yes
Self-Employed,Degree,317655,527,68134,Married,Medical,Yes
Employed,Secondary,414909,647,199567,Divorced,Medical,Yes
Business Owner,Degree,53203,521,128755,Single,Medical,No
Business Owner,Diploma,326967,318,30320,Married,Medical,Yes
Self-Employed,Masters,120568,484,128752,Single,School,No
Business Owner,Diploma,78400,590,55649,Divorced,Medical,No
Business Owner,Diploma,102679,699,185215,Single,School,No
Unemployed,Degree,326744,360,114715,Single,Business,Yes
Unemployed,Degree,204999,569,126967,Divorced,Business,Yes
Business Owner,Diploma,123069,837,7691,Married,Medical,Yes
Employed,Degree,79626,830,24167,Married,School,Yes
Employed,Diploma,146283,493,56714,Divorced,Medical,Yes
Business Owner,Diploma,86838,362,117733,Single,Medical,No
Self-Employed,Diploma,344703,493,191554,Divorced,Business,No
Self-Employed,Diploma,295502,309,49530,Married,School,Yes
Self-Employed,Diploma,490246,402,84777,Married,Business,Yes
Self-Employed,Degree,103057,318,81931,Single,Car,Yes
Business Owner,Diploma,63495,821,86543,Divorced,Car,No
Employed,Degree,337802,430,7559,Divorced,Car,Yes
Unemployed,Masters,247720,676,10983,Married,Medical,Yes
Employed,Secondary,306809,846,157408,Single,Business,Yes
Employed,Secondary,189811,786,21003,Married,Medical,Yes
Self-Employed,Degree,328441,706,104780,Single,Medical,Yes
Employed,Degree,202109,438,182780,Divorced,House,Yes
Self-Employed,Masters,403839,336,115467,Single,Car,No
Employed,Degree,140302,839,105887,Married,Business,Yes
Business Owner,Degree,378721,550,26283,Married,House,Yes
Self-Employed,Secondary,120957,423,178226,Married,Medical,No
Employed,Secondary,338473,672,115170,Divorced,Medical,Yes
Employed,Masters,459742,415,197431,Divorced,Medical,No
Employed,Secondary,108798,850,14383,Married,Business,Yes
Employed,Masters,320346,502,11730,Single,House,Yes
Employed,Secondary,477065,567,140965,Divorced,Business,Yes
Unemployed,Masters,87880,732,138955,Married,Business,No
Unemployed,Degree,464379,344,136605,Married,Car,Yes
Employed,Degree,59764,493,106508,Married,Medical,Yes
Self-Employed,Masters,368137,469,135284,Divorced,Car,No
Unemployed,Diploma,86697,780,134558,Divorced,School,No
Business Owner,Masters,444490,516,145198,Single,House,No
Self-Employed,Degree,44383,318,18735,Single,Business,No
Employed,Degree,140582,373,34998,Divorced,Business,Yes
Employed,Degree,230442,455,90089,Single,Car,Yes
Business Owner,Secondary,60225,749,71420,Married,Medical,Yes
Employed,Degree,425563,719,118434,Single,Medical,Yes
Business Owner,Degree,192342,680,37974,Married,School,Yes
Self-Employed,Secondary,166683,778,113001,Single,Medical,Yes
Business Owner,Degree,323801,415,118390,Married,Medical,Yes
Employed,Degree,380855,472,90795,Divorced,Car,Yes
Unemployed,Diploma,48614,480,23640,Single,Car,No
Self-Employed,Masters,490756,443,155644,Married,Car,No
Self-Employed,Secondary,440636,694,82863,Divorced,Business,Yes
Unemployed,Diploma,329656,541,23418,Single,Medical,Yes
Employed,Secondary,198816,538,135500,Single,Medical,Yes
Unemployed,Diploma,298563,810,130155,Single,Business,No
Self-Employed,Degree,349893,407,109785,Divorced,School,Yes
Business Owner,Masters,463042,759,82687,Single,School,Yes
Employed,Secondary,90948,799,76865,Married,House,Yes
Unemployed,Degree,32719,827,26367,Married,Car,Yes
Self-Employed,Secondary,436211,809,93140,Divorced,Medical,Yes
Self-Employed,Degree,183271,420,81957,Married,School,Yes
Self-Employed,Secondary,350236,359,117478,Divorced,School,No
Employed,Secondary,345247,659,30214,Married,Medical,Yes
Unemployed,Secondary,191381,507,65983,Divorced,School,Yes
Employed,Diploma,75806,443,80165,Divorced,Car,No
Employed,Degree,109915,539,7155,Single,School,Yes
Employed,Degree,155743,627,605,Married,Business,Yes
Self-Employed,Masters,158620,300,119993,Divorced,School,No
Unemployed,Degree,426270,667,1764,Divorced,House,Yes
Business Owner,Diploma,377742,793,104120,Divorced,House,Yes
Employed,Diploma,33952,826,168472,Divorced,School,Yes
Employed,Masters,68401,835,156365,Single,Car,Yes
Self-Employed,Masters,141585,815,29621,Single,School,Yes
Business Owner,Secondary,175160,496,64862,Single,House,Yes
Employed,Masters,344377,596,117248,Single,Medical,Yes
Self-Employed,Secondary,383693,541,17174,Married,Medical,Yes
Self-Employed,Masters,46274,586,175582,Single,School,No
Employed,Secondary,160141,440,133101,Single,Car,No
Employed,Degree,153801,497,62687,Married,Business,Yes
Business Owner,Degree,276200,602,196813,Married,Business,Yes
Unemployed,Masters,133711,410,106547,Married,School,No
Self-Employed,Diploma,101876,519,105172,Divorced,Car,Yes
Unemployed,Secondary,138388,850,65406,Divorced,Medical,Yes
Business Owner,Secondary,358557,734,182044,Divorced,House,No
Unemployed,Degree,226781,689,49861,Single,Car,Yes
Unemployed,Diploma,199049,731,834,Single,Business,Yes
Self-Employed,Masters,489160,354,155702,Married,Car,No
Unemployed,Degree,124158,350,137167,Divorced,Medical,Yes
Unemployed,Masters,303213,478,29904,Single,Business,No
Employed,Masters,36020,744,96530,Divorced,House,Yes
Business Owner,Diploma,114640,345,94436,Married,Business,Yes
Business Owner,Secondary,248435,660,172669,Married,Car,No
Unemployed,Diploma,75721,353,48173,Married,School,Yes
Business Owner,Secondary,421665,479,129453,Married,House,No
Employed,Degree,495104,678,43604,Single,House,Yes
Business Owner,Degree,177594,639,116486,Single,Business,Yes
Business Owner,Secondary,316153,373,23308,Divorced,School,No
Employed,Masters,329702,612,147636,Married,Medical,Yes
Unemployed,Degree,397544,488,99284,Married,House,Yes
Business Owner,Secondary,97466,624,12311,Divorced,Medical,Yes
Business Owner,Masters,156460,506,160119,Single,Business,No
Self-Employed,Secondary,234462,504,2290,Single,Car,Yes
Business Owner,Degree,217051,355,153415,Single,School,Yes
Self-Employed,Secondary,42891,750,53474,Divorced,Car,No
Self-Employed,Secondary,449477,457,6450,Married,Business,Yes
Self-Employed,Masters,149713,497,192475,Divorced,School,No
Business Owner,Diploma,135741,638,19500,Married,Medical,Yes
Unemployed,Degree,177273,685,167145,Divorced,House,Yes
Self-Employed,Secondary,497617,809,153574,Divorced,School,No
Business Owner,Degree,140566,417,178483,Divorced,School,Yes
Employed,Degree,344804,496,87785,Married,House,Yes
Employed,Diploma,328150,615,179666,Single,Medical,Yes
Business Owner,Diploma,62496,488,22415,Divorced,Car,No
Unemployed,Degree,106617,785,189592,Married,House,Yes
Employed,Secondary,365225,724,55180,Married,Car,Yes
Employed,Degree,73646,410,26119,Divorced,House,Yes
Self-Employed,Diploma,489573,464,45541,Married,School,Yes
Self-Employed,Masters,59578,333,65755,Single,Car,No
Self-Employed,Secondary,76755,820,19834,Single,House,No
Unemployed,Masters,493435,412,8666,Single,School,No
Unemployed,Degree,427849,737,181775,Married,Car,Yes
Business Owner,Masters,395353,318,117344,Married,House,No
Employed,Secondary,249867,302,160985,Single,House,No
Business Owner,Degree,440744,597,173201,Married,Car,Yes
Unemployed,Degree,428325,494,60288,Married,School,Yes
Business Owner,Secondary,380014,674,171718,Single,House,No
Employed,Degree,371796,442,115743,Married,School,Yes
Unemployed,Masters,128006,611,133056,Divorced,Car,No
Self-Employed,Secondary,165979,664,30860,Single,House,Yes
Employed,Degree,237120,675,181414,Single,House,Yes
Business Owner,Secondary,370380,704,3353,Divorced,House,Yes
Self-Employed,Diploma,379056,337,119242,Single,House,No
Self-Employed,Masters,328653,776,94322,Married,Car,Yes
Unemployed,Secondary,55886,724,186208,Single,House,No
Employed,Masters,153984,426,63482,Divorced,School,No
Self-Employed,Diploma,260056,734,172489,Divorced,Business,No
Self-Employed,Secondary,457513,309,4567,Married,Medical,Yes
Employed,Diploma,117796,300,16168,Married,Car,Yes
Self-Employed,Secondary,470598,583,121206,Married,House,No
Employed,Degree,441634,448,165027,Divorced,Business,Yes
Business Owner,Secondary,80732,590,103365,Married,House,Yes
Employed,Diploma,254325,467,38654,Single,School,Yes
Self-Employed,Masters,391795,630,176821,Divorced,Car,No
Business Owner,Masters,428464,824,54041,Single,House,Yes
Employed,Diploma,73662,459,30670,Divorced,House,Yes
Self-Employed,Degree,372891,544,178371,Single,Car,Yes
Unemployed,Degree,169343,403,44795,Single,House,Yes
Self-Employed,Masters,467431,762,168297,Single,School,No
Employed,Degree,201526,705,5144,Married,School,Yes
Self-Employed,Masters,150741,639,141221,Divorced,Medical,No
Unemployed,Masters,340523,470,107127,Married,Business,No
Business Owner,Degree,304426,667,198407,Married,Business,Yes
Employed,Degree,414797,491,5229,Divorced,Medical,Yes
Self-Employed,Secondary,296634,371,1253,Married,Business,Yes
Self-Employed,Degree,40431,323,155400,Single,School,No
Self-Employed,Diploma,214630,730,128102,Divorced,Business,No
Unemployed,Degree,462549,488,59738,Single,Business,Yes
Self-Employed,Degree,338118,534,40759,Married,Medical,Yes
Employed,Degree,89768,574,9765,Married,Business,Yes
Unemployed,Masters,478694,456,189244,Single,Car,No
Employed,Secondary,146643,519,117007,Married,Business,Yes
Business Owner,Masters,483760,606,27414,Married,School,Yes
Self-Employed,Degree,141565,826,70946,Married,Medical,Yes
Business Owner,Masters,329071,761,19031,Married,Car,Yes
Employed,Diploma,142999,792,90866,Divorced,School,Yes
Unemployed,Secondary,216860,367,149810,Married,Car,No
Employed,Secondary,289554,691,129470,Single,Medical,Yes
Unemployed,Masters,284518,490,69571,Single,Business,Yes
Employed,Degree,488772,400,121414,Single,Medical,Yes
Unemployed,Degree,115234,345,114004,Single,Car,Yes
Unemployed,Secondary,275413,484,59350,Married,House,Yes
Self-Employed,Degree,391986,424,1793,Single,Business,Yes
Employed,Masters,153058,784,162560,Divorced,Car,Yes
Unemployed,Diploma,182307,317,127455,Single,Car,No
Unemployed,Diploma,41851,837,86738,Divorced,House,No
Self-Employed,Degree,431824,522,75015,Divorced,School,Yes
Employed,Degree,402507,323,125712,Divorced,Car,Yes
Employed,Masters,346985,470,132450,Divorced,Car,Yes
Business Owner,Secondary,340859,568,32337,Divorced,House,Yes
Unemployed,Secondary,76263,654,4073,Married,Car,Yes
Self-Employed,Diploma,80866,828,1666,Divorced,Business,Yes
Unemployed,Secondary,254643,378,79778,Divorced,Business,No
Employed,Degree,256492,375,166982,Divorced,Business,Yes
Employed,Secondary,463184,747,195262,Married,Car,Yes
Employed,Diploma,346249,525,15313,Married,Car,Yes
Employed,Masters,271990,375,168403,Married,Medical,No
Unemployed,Secondary,412107,651,70576,Single,Business,Yes
Employed,Masters,267543,831,9600,Single,House,Yes
Employed,Degree,415380,771,23546,Married,School,Yes
Employed,Degree,476164,305,109194,Single,Business,Yes
Business Owner,Degree,474990,758,45720,Divorced,Business,Yes
Employed,Degree,235883,351,148677,Single,House,Yes
Employed,Diploma,56356,325,75370,Married,Business,Yes
Self-Employed,Masters,121319,525,12783,Single,House,Yes
Employed,Secondary,71615,695,169845,Single,Car,Yes
Business Owner,Degree,115611,310,132141,Single,School,Yes
Self-Employed,Secondary,303843,521,94027,Divorced,School,Yes
Business Owner,Degree,96132,461,51609,Single,Car,Yes
Business Owner,Secondary,455778,696,197401,Single,Car,No
Employed,Diploma,149541,425,180998,Married,House,No
Employed,Degree,113610,478,1612,Single,House,Yes
Employed,Diploma,75778,630,92171,Divorced,Medical,Yes
Employed,Secondary,386246,339,55803,Divorced,Medical,No
Employed,Masters,362714,798,114922,Divorced,School,Yes
Self-Employed,Diploma,285254,464,58732,Single,House,No
Business Owner,Diploma,97439,317,136171,Married,School,No
Business Owner,Diploma,74722,659,61722,Single,Medical,No
Employed,Masters,365071,326,41373,Divorced,Car,No
Employed,Degree,120556,833,147571,Single,Medical,Yes
Business Owner,Diploma,415220,596,173894,Divorced,Medical,No
Business Owner,Diploma,195148,410,36499,Married,Car,Yes
Self-Employed,Secondary,62501,671,162225,Single,House,No
Employed,Secondary,80291,672,98765,Divorced,Car,Yes
Business Owner,Masters,178407,467,131918,Divorced,Business,No
Self-Employed,Diploma,368230,555,142746,Divorced,House,No
Self-Employed,Secondary,106265,548,25574,Divorced,Business,Yes
Self-Employed,Degree,259901,754,159432,Married,House,Yes
Employed,Diploma,282612,569,150370,Married,Car,Yes
Unemployed,Diploma,441778,514,161340,Single,Medical,No
Unemployed,Degree,167061,840,50011,Divorced,Car,Yes
Self-Employed,Diploma,92655,562,98597,Married,Medical,Yes
Employed,Secondary,323227,684,40027,Single,Medical,Yes
Business Owner,Secondary,251730,590,182382,Married,Medical,No
Self-Employed,Diploma,342166,444,101601,Divorced,School,No
Employed,Masters,93198,620,127637,Divorced,Business,Yes
Unemployed,Secondary,209182,390,110060,Divorced,House,No
Employed,Degree,58775,496,88963,Married,Medical,Yes
Business Owner,Masters,69294,444,152368,Divorced,Car,No
Employed,Secondary,496622,781,130856,Married,School,Yes
Employed,Secondary,455068,702,78029,Divorced,House,Yes
Self-Employed,Degree,393633,799,92060,Married,House,Yes
Business Owner,Diploma,41709,337,39772,Single,Business,No
Business Owner,Diploma,78597,528,89956,Married,Business,Yes
Employed,Secondary,77766,559,169959,Single,School,Yes
Self-Employed,Degree,95934,394,113253,Married,House,Yes
Unemployed,Masters,371472,420,16414,Divorced,Business,No
Self-Employed,Diploma,135623,420,29947,Divorced,Medical,No
Unemployed,Masters,482222,820,180149,Divorced,House,No
Business Owner,Secondary,207431,621,75645,Divorced,House,Yes
Self-Employed,Diploma,222500,397,17947,Divorced,House,No
Self-Employed,Diploma,34843,443,19933,Divorced,Car,No
Self-Employed,Degree,401645,839,82800,Married,House,Yes
Employed,Degree,487241,504,147465,Divorced,Business,Yes
Business Owner,Secondary,64145,681,103892,Married,Business,No
Self-Employed,Masters,56894,430,158077,Married,Medical,No
Employed,Secondary,472398,827,175900,Single,Car,Yes
Business Owner,Secondary,494411,349,182501,Divorced,Car,No
Business Owner,Secondary,278960,651,87979,Divorced,School,Yes
Business Owner,Degree,90201,621,20671,Divorced,House,Yes
Business Owner,Degree,313774,827,82541,Married,House,Yes
Employed,Degree,275189,437,78525,Married,Car,Yes
Self-Employed,Diploma,195134,612,173462,Divorced,Medical,No
Employed,Diploma,394055,334,19832,Married,Car,Yes
Unemployed,Degree,152072,724,89676,Divorced,School,Yes
Unemployed,Secondary,466199,668,20739,Married,Business,Yes
Unemployed,Degree,58527,811,144321,Married,Car,No
Unemployed,Masters,61839,393,188449,Single,Car,No
Business Owner,Degree,149248,336,120042,Married,School,Yes
Self-Employed,Diploma,472158,340,19257,Divorced,Car,No
Unemployed,Masters,382954,804,28041,Married,Business,Yes
Self-Employed,Secondary,255621,609,82379,Single,Medical,Yes
Self-Employed,Diploma,187510,604,37463,Married,Medical,Yes
Self-Employed,Diploma,315056,620,176097,Married,School,No
Self-Employed,Degree,407284,499,7890,Married,Business,Yes
Self-Employed,Degree,217392,499,56770,Married,House,Yes
Employed,Masters,193859,415,5526,Divorced,Car,No
Employed,Diploma,367572,694,105382,Married,Medical,Yes
Unemployed,Secondary,184910,413,110766,Divorced,Medical,No
Business Owner,Secondary,408749,690,1725,Single,Car,Yes
Unemployed,Masters,456478,481,40324,Single,Business,Yes
Unemployed,Masters,186651,410,74944,Married,Car,Yes
Unemployed,Masters,219632,473,190718,Married,Car,No
Self-Employed,Diploma,315097,319,29534,Married,Car,Yes
Business Owner,Degree,207651,743,168032,Divorced,Car,Yes
Self-Employed,Secondary,476423,615,92390,Married,School,Yes
